page,x0,y0,x1,y1,text
1,2226.0,1642.0,2355.0,1705.0,みず
1,2830.0,1642.0,2872.0,1663.0,ワ
1,2497.0,1646.0,2537.0,1705.0,し
1,662.0,1649.0,689.0,1750.0,で
1,688.0,1649.0,764.0,1750.0,きる
1,763.0,1649.0,798.0,1750.0,し
1,797.0,1649.0,840.0,1750.0,っ
1,839.0,1649.0,865.0,1750.0,と
1,864.0,1649.0,924.0,1750.0,り
1,923.0,1649.0,975.0,1750.0,感
1,974.0,1649.0,992.0,1750.0,!
1,2551.0,1655.0,2609.0,1701.0,い
1,500.0,1671.0,992.0,1734.0,安心
1,263.0,1675.0,317.0,1721.0,つ
1,354.0,1680.0,404.0,1721.0,コ
1,2230.0,1721.0,2389.0,1788.0,触り
1,2426.0,1721.0,2522.0,1788.0,心地
1,2673.0,1726.0,2713.0,1801.0,ク
1,2572.0,1730.0,2601.0,1776.0,パ
1,2538.0,1738.0,2567.0,1780.0,、
1,250.0,1742.0,896.0,1805.0,て
1,2622.0,1742.0,2651.0,1805.0,ッ
1,859.0,1946.0,904.0,2055.0,に
1,196.0,1951.0,417.0,2038.0,‘sc
1,558.0,1971.0,613.0,2030.0,、
1,2536.0,2020.0,2605.0,2105.0,みな
1,2151.0,2026.0,2167.0,2080.0,「
1,763.0,2030.0,1029.0,2105.0,Ett?
1,2189.0,2030.0,2230.0,2076.0,と
1,2274.0,2030.0,2317.0,2076.0,か
1,2322.0,2030.0,2388.0,2080.0,く
1,2621.0,2030.0,2700.0,2076.0,さい
1,2713.0,2030.0,2730.0,2080.0,」
1,2742.0,2030.0,2764.0,2080.0,と
1,2784.0,2030.0,2805.0,2080.0,(
1,2813.0,2030.0,2863.0,2080.0,笑
1,2872.0,2030.0,2893.0,2080.0,)
1,558.0,2034.0,679.0,2109.0,Ag
1,2413.0,2034.0,2495.0,2076.0,使っ
1,2509.0,2034.0,2537.0,2076.0,て
1,2234.0,2038.0,2263.0,2076.0,に
1,571.0,2096.0,609.0,2146.0,し
1,763.0,2096.0,834.0,2151.0,2}
1,2588.0,2120.0,2632.0,2223.0,代
1,729.0,2126.0,734.0,2134.0,|
1,513.0,2151.0,604.0,2226.0,|g
1,2717.0,2151.0,2826.0,2205.0,友達
1,2292.0,2155.0,2351.0,2201.0,80
1,2365.0,2155.0,2405.0,2205.0,代
1,2451.0,2155.0,2529.0,2205.0,同
1,2555.0,2155.0,2589.0,2205.0,年
1,2665.0,2155.0,2709.0,2201.0,お
1,2845.0,2155.0,2864.0,2205.0,も
1,2631.0,2163.0,2659.0,2201.0,の
1,2413.0,2188.0,2430.0,2205.0,、
1,2872.0,2188.0,2893.0,2205.0,、
1,319.0,2201.0,363.0,2276.0,小
1,363.0,2201.0,401.0,2276.0,ジ
1,192.0,2209.0,433.0,2272.0,乾
1,571.0,2209.0,613.0,2259.0,し
1,438.0,2213.0,442.0,2226.0,の
1,450.0,2213.0,488.0,2255.0,に
1,2392.0,2221.0,2501.0,2276.0,こう
1,2651.0,2221.0,2713.0,2272.0,いま
1,2722.0,2221.0,2749.0,2272.0,す
1,1004.0,2226.0,1029.0,2280.0,°
1,2292.0,2226.0,2381.0,2272.0,けっ
1,2530.0,2226.0,2607.0,2267.0,使っ
1,2622.0,2234.0,2642.0,2267.0,て
1,2759.0,2255.0,2780.0,2272.0,。
1,311.0,2259.0,334.0,2350.0,し
1,212.0,2263.0,312.0,2334.0,期待
1,563.0,2267.0,609.0,2317.0,た
1,333.0,2288.0,380.0,2313.0,て
1,463.0,2288.0,467.0,2313.0,|
1,654.0,2292.0,667.0,2338.0,!
1,863.0,2292.0,904.0,2347.0,を
1,1009.0,2297.0,1029.0,2342.0,1
1,2726.0,2338.0,2780.0,2367.0,aa
1,792.0,2559.0,804.0,2580.0,3
1,942.0,2559.0,954.0,2580.0,i
1,600.0,2601.0,621.0,2626.0,に
1,2713.0,2688.0,2847.0,2755.0,BES
1,246.0,2705.0,288.0,2738.0,vig
1,371.0,2797.0,513.0,2863.0,aD
1,2751.0,2809.0,2780.0,2863.0,も
1,2369.0,2817.0,2426.0,2855.0,rt
1,2456.0,2822.0,2638.0,2880.0,ieee
1,2713.0,2826.0,2730.0,2851.0,り
1,2809.0,2834.0,2847.0,2872.0,の
1,2563.0,3013.0,2634.0,3072.0,Ww
1,1407.0,3105.0,1458.0,3192.0,エイ
1,1457.0,3105.0,1517.0,3192.0,ジング
1,1523.0,3105.0,1545.0,3192.0,サ
1,1684.0,3105.0,1726.0,3192.0,イン
1,1878.0,3105.0,1900.0,3192.0,ョ
1,1544.0,3118.0,1625.0,3155.0,アオ
1,900.0,3122.0,920.0,3180.0,1
1,1167.0,3126.0,1217.0,3155.0,ビー
1,1726.0,3126.0,1805.0,3155.0,ワン
1,1117.0,3130.0,1167.0,3151.0,ユー
1,1867.0,3134.0,1879.0,3151.0,ウ
1,1631.0,3138.0,1650.0,3143.0,ー
1,1350.0,3163.0,1375.0,3226.0,「
1,575.0,3168.0,706.0,3322.0,ah
1,2317.0,3168.0,2509.0,3255.0,begat
1,1684.0,3180.0,1708.0,3243.0,」
1,1763.0,3180.0,1905.0,3243.0,ser
1,2551.0,3180.0,2647.0,3263.0,ear
1,2722.0,3180.0,2847.0,3268.0,きれ
1,1225.0,3184.0,1292.0,3230.0,トピ
1,1402.0,3184.0,1430.0,3234.0,ヒ
1,1448.0,3184.0,1550.0,3238.0,アロ
1,1563.0,3184.0,1662.0,3238.0,ワン
1,479.0,3193.0,525.0,3226.0,2
1,1300.0,3193.0,1334.0,3230.0,ア
1,750.0,3209.0,771.0,3247.0,3
1,2494.0,3218.0,2506.0,3280.0,=
1,746.0,3251.0,771.0,3293.0,3
1,817.0,3255.0,846.0,3334.0,3
1,817.0,3263.0,829.0,3280.0,x
1,900.0,3272.0,959.0,3338.0,“7
1,2801.0,3276.0,2847.0,3355.0,Ey
1,1659.0,3297.0,1680.0,3313.0,4
1,1755.0,3297.0,1759.0,3301.0,に
1,1534.0,3301.0,1600.0,3338.0,7
1,490.0,3309.0,504.0,3348.0,|
1,1296.0,3322.0,1317.0,3380.0,日
1,1396.0,3322.0,1417.0,3380.0,5
1,2751.0,3330.0,2830.0,3359.0,a!
1,829.0,3338.0,834.0,3368.0,|
1,2021.0,3343.0,2051.0,3384.0,ly
1,1450.0,3347.0,1467.0,3388.0,i
1,2405.0,3347.0,2426.0,3397.0,を
1,792.0,3363.0,804.0,3388.0,t
1,1776.0,3372.0,1859.0,3384.0,—
1,1650.0,3480.0,1767.0,3509.0,ーー
1,2484.0,3480.0,2509.0,3509.0,ーー
1,1646.0,3493.0,1678.0,3535.0,ae
1,2538.0,3497.0,2788.0,3509.0,ee
1,1088.0,3501.0,1130.0,3547.0,=a
1,1935.0,3543.0,1963.0,3559.0,EE
1,1971.0,3547.0,1992.0,3555.0,に
1,1571.0,3626.0,2355.0,3714.0,&30120-38-1161
1,1496.0,3634.0,1509.0,3709.0,.
1,774.0,3706.0,793.0,3749.0,一
1,588.0,3776.0,600.0,3784.0,7
1,1217.0,3784.0,1380.0,3855.0,——
1,1662.0,3793.0,1667.0,3822.0,|
1,2588.0,3835.0,2628.0,3872.0,ーー
1,2645.0,3835.0,2692.0,3872.0,エー
1,2276.0,3918.0,2334.0,3934.0,—_
1,2517.0,3930.0,2542.0,3939.0,+
1,2592.0,3930.0,2642.0,3968.0,ユー
